project_id,project_name,project_type,state,district,project_manager_id,village_count,land_area_acres,affected_families,total_landowners,project_budget,planned_start_date,planned_completion_date,current_stage,project_status,created_at,updated_at
LG-000020,Visakhapatnam Highway Power Grid Link,Highway,Andhra Pradesh,Visakhapatnam,USR-00935,21,2021.54,2357,3530,77280981869.3,2018-05-05,2021-05-04,Final Handover,Active,2018-05-05 09:00:00,2018-10-02 09:00:00
LG-000021,Vizianagaram Highway Metro Line Extension,Highway,Andhra Pradesh,Vizianagaram,USR-00935,27,7708.27,1959,4011,16736653257.71,2023-06-02,2027-06-01,Possession,Active,2023-06-02 09:00:00,2023-08-10 09:00:00
LG-000022,West Godavari Highway Expressway Development,Highway,Andhra Pradesh,West Godavari,USR-00935,4,9250.12,1450,1921,48511288988.48,2018-04-24,2023-04-23,Survey,Active,2018-04-24 09:00:00,2018-10-17 09:00:00
LG-000023,YSR Kadapa Highway Bypass Construction,Highway,Andhra Pradesh,YSR Kadapa,USR-00935,13,5842.65,1829,4034,19579610186.85,2022-08-22,2024-08-21,Survey,Active,2022-08-22 09:00:00,2023-05-21 09:00:00
LG-000024,Dr. B.R. Ambedkar Konaseema Urban Development Greenfield Connector,Urban Development,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,USR-00935,9,4968.24,2969,6235,72216435864.87,2020-08-04,2025-08-03,Survey,Active,2020-08-04 09:00:00,2021-01-06 09:00:00
LG-000025,Kurnool Dam Irrigation Modernization,Dam,Andhra Pradesh,Kurnool,USR-00935,7,1768.04,2259,3895,86291364368.37,2021-09-12,2023-09-12,Land Identification,Active,2021-09-12 09:00:00,2022-03-03 09:00:00
LG-000026,Anjaw Railway Smart City Water Network,Railway,Arunachal Pradesh,Anjaw,USR-00877,2,2857.13,1009,1708,92915552783.55,2024-06-05,2026-06-05,Survey,Completed,2024-06-05 09:00:00,2024-07-26 09:00:00
LG-000027,Changlang Railway Freight Corridor Expansion,Railway,Arunachal Pradesh,Changlang,USR-00874,29,1472.93,91,229,94364847602.38,2020-06-13,2023-06-13,Survey,On Hold,2020-06-13 09:00:00,2021-01-31 09:00:00
LG-000028,Dibang Valley Highway Industrial Cluster Feeder,Highway,Arunachal Pradesh,Dibang Valley,USR-00944,15,9139.08,162,281,67512991927.56,2024-09-21,2027-09-21,Approval,On Hold,2024-09-21 09:00:00,2025-03-05 09:00:00
LG-000029,East Kameng Highway Irrigation Modernization,Highway,Arunachal Pradesh,East Kameng,USR-00944,20,5853.53,4213,10322,31125712140.36,2024-03-05,2029-03-04,R&R,Completed,2024-03-05 09:00:00,2024-08-20 09:00:00
LG-000030,East Siang Canal Irrigation Modernization,Canal,Arunachal Pradesh,East Siang,USR-00944,29,658.42,3280,6405,52590391915.41,2021-08-15,2027-08-14,Possession,Cancelled,2021-08-15 09:00:00,2021-09-14 09:00:00
LG-000031,Kamle Highway Power Grid Link,Highway,Arunachal Pradesh,Kamle,USR-00874,39,5791.85,1332,1498,64443295098.12,2021-12-19,2023-12-19,Compensation,Active,2021-12-19 09:00:00,2022-09-20 09:00:00
LG-000032,Kra Daadi Dam Metro Line Extension,Dam,Arunachal Pradesh,Kra Daadi,USR-00874,19,7047.32,3095,3685,15278696317.97,2024-12-26,2027-12-26,Approval,Active,2024-12-26 09:00:00,2025-01-31 09:00:00
LG-000033,Kurung Kumey Power Project Expressway Development,Power Project,Arunachal Pradesh,Kurung Kumey,USR-00944,24,8397.3,4218,6734,42277999658.93,2019-06-04,2023-06-03,Compensation,Active,2019-06-04 09:00:00,2019-10-19 09:00:00
LG-000034,Lepa Rada Canal Metro Line Extension,Canal,Arunachal Pradesh,Lepa Rada,USR-00944,33,3853.82,3206,5347,20700390385.05,2019-10-07,2025-10-05,Land Identification,Active,2019-10-07 09:00:00,2019-10-21 09:00:00
LG-000035,Lohit Power Project Bypass Construction,Power Project,Arunachal Pradesh,Lohit,USR-00877,31,475.89,2587,3207,857788289.89,2024-05-13,2030-05-12,Objection/Hearing,On Hold,2024-05-13 09:00:00,2024-08-30 09:00:00
LG-000036,Longding Highway Freight Corridor Expansion,Highway,Arunachal Pradesh,Longding,USR-00944,37,4302.44,3208,7934,40317870754.81,2022-03-14,2025-03-13,Objection/Hearing,Active,2022-03-14 09:00:00,2022-05-13 09:00:00
LG-000037,Lower Dibang Valley Dam Freight Corridor Expansion,Dam,Arunachal Pradesh,Lower Dibang Valley,USR-00944,14,151.02,1780,3153,18799863811.88,2020-04-27,2026-04-26,Survey,Completed,2020-04-27 09:00:00,2021-02-01 09:00:00
LG-000038,Lower Subansiri Canal Freight Corridor Expansion,Canal,Arunachal Pradesh,Lower Subansiri,USR-00944,26,1276.84,58,139,46027473087.32,2018-01-09,2020-01-09,Land Identification,Active,2018-01-09 09:00:00,2018-07-08 09:00:00
LG-000039,Namsai Railway Metro Line Extension,Railway,Arunachal Pradesh,Namsai,USR-00944,20,7819.79,1875,2126,2645118408.97,2022-10-28,2027-10-27,Approval,Active,2022-10-28 09:00:00,2022-11-16 09:00:00
LG-000040,Pakke Kessang Canal Smart City Water Network,Canal,Arunachal Pradesh,Pakke Kessang,USR-00874,8,833.43,3459,6264,57605414962.88,2024-04-06,2029-04-05,Final Handover,Active,2024-04-06 09:00:00,2024-04-23 09:00:00
LG-000041,Papum Pare Power Project Ring Road Phase II,Power Project,Arunachal Pradesh,Papum Pare,USR-00944,8,8133.7,3105,6276,81831405708.08,2024-02-03,2026-02-02,Notification,Active,2024-02-03 09:00:00,2024-10-28 09:00:00
LG-000042,National Highway 44 Bypass (Shi Yomi Corridor),Highway,Arunachal Pradesh,Shi Yomi,USR-00944,14,800.0,450,650,4500000000.0,2024-11-12,2029-11-11,Compensation,Active,2024-11-12 09:00:00,2025-03-11 09:00:00
LG-000043,Siang Dam Freight Corridor Expansion,Dam,Arunachal Pradesh,Siang,USR-00877,39,1134.6,309,599,24870185506.88,2022-02-05,2025-02-04,Survey,Cancelled,2022-02-05 09:00:00,2022-10-25 09:00:00
LG-000044,Tawang Urban Development Ring Road Phase II,Urban Development,Arunachal Pradesh,Tawang,USR-00874,31,7136.53,2425,3240,12864023081.22,2020-07-09,2023-07-09,Possession,Active,2020-07-09 09:00:00,2020-08-02 09:00:00
LG-000045,Tirap Railway Metro Line Extension,Railway,Arunachal Pradesh,Tirap,USR-00874,14,1857.72,3846,5484,33307879685.66,2023-05-09,2029-05-07,Final Handover,Completed,2023-05-09 09:00:00,2023-05-30 09:00:00
LG-000046,Upper Siang Urban Development Irrigation Modernization,Urban Development,Arunachal Pradesh,Upper Siang,USR-00944,20,3299.69,3795,7763,51695266795.98,2024-03-11,2029-03-10,Notification,Active,2024-03-11 09:00:00,2024-09-28 09:00:00
LG-000047,Upper Subansiri Airport Metro Line Extension,Airport,Arunachal Pradesh,Upper Subansiri,USR-00874,37,8636.84,315,806,74441190485.7,2023-01-07,2029-01-05,Compensation,Completed,2023-01-07 09:00:00,2023-04-19 09:00:00
LG-000048,West Kameng Airport Ring Road Phase II,Airport,Arunachal Pradesh,West Kameng,USR-00877,28,4054.3,3098,3771,49129028300.5,2022-08-20,2027-08-19,Objection/Hearing,Completed,2022-08-20 09:00:00,2023-02-02 09:00:00
LG-000049,West Siang Power Project Irrigation Modernization,Power Project,Arunachal Pradesh,West Siang,USR-00944,27,3178.58,2022,4694,76264400771.3,2020-10-25,2026-10-24,Legal Resolution,Active,2020-10-25 09:00:00,2021-08-02 09:00:00
LG-000050,Itanagar Airport Metro Line Extension,Airport,Arunachal Pradesh,Itanagar,USR-00874,23,7427.08,3945,6409,76343613798.2,2022-12-07,2025-12-06,Objection/Hearing,Completed,2022-12-07 09:00:00,2023-03-14 09:00:00
LG-000051,Bichom Highway Ring Road Phase II,Highway,Arunachal Pradesh,Bichom,USR-00877,32,254.66,3409,6381,20020438982.7,2019-04-19,2024-04-17,Land Identification,Active,2019-04-19 09:00:00,2019-05-02 09:00:00
LG-000052,Bajali Water Supply Irrigation Modernization,Water Supply,Assam,Bajali,USR-00909,15,3413.9,4790,10958,71385656581.02,2018-03-05,2021-03-04,Survey,Completed,2018-03-05 09:00:00,2018-12-28 09:00:00
LG-000053,Baksa Dam Bypass Construction,Dam,Assam,Baksa,USR-00967,11,8921.01,1815,2711,23884686617.03,2021-10-28,2027-10-27,Notification,Active,2021-10-28 09:00:00,2022-05-23 09:00:00
LG-000054,Barpeta Power Project Irrigation Modernization,Power Project,Assam,Barpeta,USR-01014,27,9596.99,2020,4947,92275445146.24,2020-01-12,2025-01-10,Notification,Active,2020-01-12 09:00:00,2020-08-06 09:00:00
LG-000055,Biswanath Dam Expressway Development,Dam,Assam,Biswanath,USR-00967,36,7299.22,2488,6020,89560007933.81,2018-06-06,2023-06-05,Final Handover,Completed,2018-06-06 09:00:00,2018-09-22 09:00:00
LG-000056,Bongaigaon Metro Ring Road Phase II,Metro,Assam,Bongaigaon,USR-00967,21,1864.07,772,1826,60294611975.17,2020-02-04,2024-02-03,Survey,Active,2020-02-04 09:00:00,2020-08-02 09:00:00
LG-000057,Cachar Water Supply Expressway Development,Water Supply,Assam,Cachar,USR-01014,33,5837.13,4725,7066,69640944510.64,2024-08-18,2027-08-18,Objection/Hearing,Active,2024-08-18 09:00:00,2024-09-10 09:00:00
LG-000058,Charaideo Highway Bypass Construction,Highway,Assam,Charaideo,USR-00967,34,5062.06,194,434,36843495675.71,2023-09-17,2026-09-16,R&R,Completed,2023-09-17 09:00:00,2024-02-15 09:00:00
LG-000059,Chirang Industrial Corridor Expressway Development,Industrial Corridor,Assam,Chirang,USR-01014,12,8395.08,1837,2791,77629115312.33,2021-10-18,2023-10-18,Compensation,Cancelled,2021-10-18 09:00:00,2022-05-24 09:00:00
LG-000060,Darrang Dam Irrigation Modernization,Dam,Assam,Darrang,USR-00967,20,8827.26,2776,6386,51225441410.16,2018-11-03,2022-11-02,Final Handover,Active,2018-11-03 09:00:00,2019-05-09 09:00:00
LG-000061,Dhemaji Industrial Corridor Freight Corridor Expansion,Industrial Corridor,Assam,Dhemaji,USR-00967,6,5205.51,3412,5021,20403663832.97,2021-06-01,2027-05-31,R&R,On Hold,2021-06-01 09:00:00,2021-09-03 09:00:00
LG-000062,Dhubri Metro Irrigation Modernization,Metro,Assam,Dhubri,USR-01014,22,8601.24,4732,9623,15021306562.55,2021-03-01,2027-02-28,Notification,Active,2021-03-01 09:00:00,2021-06-18 09:00:00
LG-000063,Dibrugarh Canal Bypass Construction,Canal,Assam,Dibrugarh,USR-00909,19,5836.98,943,2384,80703270611.81,2023-05-06,2028-05-04,Survey,Active,2023-05-06 09:00:00,2023-07-26 09:00:00
LG-000064,Dima Hasao Dam Greenfield Connector,Dam,Assam,Dima Hasao,USR-00909,37,7535.02,352,661,86631212315.31,2024-09-05,2026-09-05,Legal Resolution,Active,2024-09-05 09:00:00,2025-02-01 09:00:00
LG-000065,Goalpara Railway Greenfield Connector,Railway,Assam,Goalpara,USR-00909,14,8198.1,2972,6168,60280712831.9,2021-12-26,2027-12-25,Approval,Active,2021-12-26 09:00:00,2022-02-28 09:00:00
LG-000066,Golaghat Power Project Power Grid Link,Power Project,Assam,Golaghat,USR-01014,6,1379.77,3448,4181,92420356240.53,2018-08-03,2020-08-02,Objection/Hearing,Active,2018-08-03 09:00:00,2019-02-08 09:00:00
LG-000067,Hailakandi Highway Ring Road Phase II,Highway,Assam,Hailakandi,USR-00967,23,1278.04,267,654,4570257030.97,2023-05-03,2025-05-02,Possession,Active,2023-05-03 09:00:00,2024-02-14 09:00:00
LG-000068,Hojai Canal Industrial Cluster Feeder,Canal,Assam,Hojai,USR-00967,22,8865.63,3345,4883,298554988.14,2020-12-26,2026-12-25,Land Identification,Completed,2020-12-26 09:00:00,2021-05-03 09:00:00
LG-000069,Jorhat Canal Metro Line Extension,Canal,Assam,Jorhat,USR-01014,9,5781.5,3289,6789,18838144573.76,2018-02-09,2020-02-09,Legal Resolution,Completed,2018-02-09 09:00:00,2018-03-14 09:00:00
LG-000070,Kamrup Power Project Industrial Cluster Feeder,Power Project,Assam,Kamrup,USR-00909,22,3101.49,262,686,72510870310.04,2023-06-06,2026-06-05,Possession,Active,2023-06-06 09:00:00,2023-08-18 09:00:00
LG-000071,Kamrup Metropolitan Metro Irrigation Modernization,Metro,Assam,Kamrup Metropolitan,USR-00967,13,8291.56,1300,3140,3358212259.7,2019-05-15,2023-05-14,Approval,Active,2019-05-15 09:00:00,2019-08-26 09:00:00
LG-000072,Karbi Anglong Highway Greenfield Connector,Highway,Assam,Karbi Anglong,USR-01014,10,8699.91,4461,7548,99143480042.46,2018-02-25,2024-02-24,Notification,Active,2018-02-25 09:00:00,2018-05-02 09:00:00
LG-000073,Karimganj Industrial Corridor Irrigation Modernization,Industrial Corridor,Assam,Karimganj,USR-00967,30,410.06,3288,4994,90174163128.88,2024-09-06,2028-09-05,Land Identification,Active,2024-09-06 09:00:00,2025-06-16 09:00:00
LG-000074,Kokrajhar Urban Development Metro Line Extension,Urban Development,Assam,Kokrajhar,USR-01014,33,5352.47,1830,2551,21785146214.92,2024-02-23,2027-02-22,Survey,Active,2024-02-23 09:00:00,2024-07-04 09:00:00
LG-000075,Lakhimpur Highway Freight Corridor Expansion,Highway,Assam,Lakhimpur,USR-00967,17,1444.25,3448,4812,93363356367.89,2024-02-09,2028-02-08,R&R,Active,2024-02-09 09:00:00,2024-07-06 09:00:00
LG-000076,Majuli Water Supply Power Grid Link,Water Supply,Assam,Majuli,USR-00967,26,6087.14,1057,2421,97964944987.18,2022-05-17,2027-05-16,Notification,Active,2022-05-17 09:00:00,2022-10-12 09:00:00
LG-000077,Morigaon Water Supply Expressway Development,Water Supply,Assam,Morigaon,USR-00967,40,899.36,1948,2197,71920657803.08,2019-12-10,2024-12-08,Final Handover,Active,2019-12-10 09:00:00,2020-03-05 09:00:00
LG-000078,Nagaon Airport Ring Road Phase II,Airport,Assam,Nagaon,USR-00967,13,7988.06,1115,1589,96401236394.35,2024-02-13,2030-02-11,Documentation,Active,2024-02-13 09:00:00,2024-03-13 09:00:00
LG-000079,Nalbari Canal Ring Road Phase II,Canal,Assam,Nalbari,USR-00967,11,6175.55,4459,7249,26827804613.98,2021-10-18,2024-10-17,R&R,Completed,2021-10-18 09:00:00,2021-11-13 09:00:00
LG-000080,Sivasagar Water Supply Freight Corridor Expansion,Water Supply,Assam,Sivasagar,USR-00967,21,958.99,1729,3657,10045747641.27,2018-05-08,2020-05-07,Final Handover,Active,2018-05-08 09:00:00,2019-02-06 09:00:00
LG-000081,Sonitpur Metro Greenfield Connector,Metro,Assam,Sonitpur,USR-00967,5,2633.27,3510,4142,84644532821.76,2021-12-04,2025-12-03,Final Handover,On Hold,2021-12-04 09:00:00,2022-04-06 09:00:00
LG-000082,South Salmara-Mankachar Highway Metro Line Extension,Highway,Assam,South Salmara-Mankachar,USR-01014,24,2501.47,1506,2841,56991922464.3,2024-12-02,2027-12-02,Compensation,On Hold,2024-12-02 09:00:00,2025-06-22 09:00:00
LG-000083,Tinsukia Canal Irrigation Modernization,Canal,Assam,Tinsukia,USR-01014,19,8498.75,65,123,49080344484.45,2023-03-11,2026-03-10,Survey,Active,2023-03-11 09:00:00,2023-04-27 09:00:00
LG-000084,Udalguri Canal Ring Road Phase II,Canal,Assam,Udalguri,USR-01014,21,2592.74,2249,5606,95182409739.31,2020-05-24,2026-05-23,Land Identification,Cancelled,2020-05-24 09:00:00,2020-10-25 09:00:00
LG-000085,West Karbi Anglong Canal Metro Line Extension,Canal,Assam,West Karbi Anglong,USR-00967,1,2089.21,2971,3514,79759069530.63,2022-06-06,2028-06-04,Objection/Hearing,Active,2022-06-06 09:00:00,2023-02-28 09:00:00
LG-000086,Araria Power Project Bypass Construction,Power Project,Bihar,Araria,USR-00979,31,5971.84,4727,11020,84071556751.44,2019-09-09,2021-09-08,Objection/Hearing,Active,2019-09-09 09:00:00,2020-01-04 09:00:00
LG-000087,Arwal Highway Bypass Construction,Highway,Bihar,Arwal,USR-00994,29,8785.85,3699,7307,5353147111.63,2019-11-10,2023-11-09,Documentation,Active,2019-11-10 09:00:00,2020-05-20 09:00:00
LG-000088,Aurangabad Highway Expressway Development,Highway,Bihar,Aurangabad,USR-00908,8,2621.93,4829,8446,46661006170.65,2019-02-05,2021-02-04,Objection/Hearing,Active,2019-02-05 09:00:00,2019-07-13 09:00:00
LG-000089,Banka Highway Expressway Development,Highway,Bihar,Banka,USR-00978,7,3948.64,4231,8587,46195844771.02,2019-01-16,2022-01-15,Land Identification,Active,2019-01-16 09:00:00,2019-09-25 09:00:00
LG-000090,Begusarai Highway Industrial Cluster Feeder,Highway,Bihar,Begusarai,USR-00994,39,2837.62,4681,11627,22098362302.53,2018-06-04,2024-06-02,Land Identification,Active,2018-06-04 09:00:00,2018-12-05 09:00:00
LG-000091,Bhagalpur Metro Irrigation Modernization,Metro,Bihar,Bhagalpur,USR-00978,23,7520.21,1774,2271,58641079673.45,2018-05-18,2022-05-17,R&R,Active,2018-05-18 09:00:00,2018-05-31 09:00:00
LG-000092,Bhojpur Urban Development Freight Corridor Expansion,Urban Development,Bihar,Bhojpur,USR-01008,40,4419.68,1775,2614,86648609720.89,2019-10-04,2023-10-03,Survey,Active,2019-10-04 09:00:00,2020-05-24 09:00:00
LG-000093,Buxar Highway Freight Corridor Expansion,Highway,Bihar,Buxar,USR-01002,11,3212.95,4252,6907,42652645638.5,2018-09-15,2021-09-14,Approval,Active,2018-09-15 09:00:00,2018-09-28 09:00:00
LG-000094,Darbhanga Highway Industrial Cluster Feeder,Highway,Bihar,Darbhanga,USR-00994,16,4335.77,4318,10274,35759928854.76,2023-11-13,2026-11-12,Survey,Active,2023-11-13 09:00:00,2024-07-15 09:00:00
LG-000095,East Champaran Highway Metro Line Extension,Highway,Bihar,East Champaran,USR-01002,29,2288.22,4024,9577,31480080468.44,2024-06-22,2026-06-22,Final Handover,Active,2024-06-22 09:00:00,2024-11-02 09:00:00
LG-000096,Gaya Highway Ring Road Phase II,Highway,Bihar,Gaya,USR-01005,1,6053.78,1695,2560,68980471973.26,2020-05-21,2022-05-21,Final Handover,Active,2020-05-21 09:00:00,2021-03-01 09:00:00
LG-000097,Gopalganj Railway Freight Corridor Expansion,Railway,Bihar,Gopalganj,USR-01008,28,788.16,1740,3501,85417053433.71,2021-04-04,2026-04-03,Objection/Hearing,Active,2021-04-04 09:00:00,2021-07-25 09:00:00
LG-000098,Jamui Canal Ring Road Phase II,Canal,Bihar,Jamui,USR-01002,34,5397.2,1894,4629,20876608264.89,2018-12-17,2023-12-16,Objection/Hearing,Active,2018-12-17 09:00:00,2019-08-07 09:00:00
LG-000099,Jehanabad Highway Power Grid Link,Highway,Bihar,Jehanabad,USR-01008,19,8396.32,2748,3582,84845680275.59,2023-08-26,2027-08-25,Legal Resolution,Completed,2023-08-26 09:00:00,2023-09-19 09:00:00
LG-000100,Kaimur Power Project Freight Corridor Expansion,Power Project,Bihar,Kaimur,USR-00978,27,9717.56,3142,7805,69005271847.47,2018-01-25,2024-01-24,Survey,Active,2018-01-25 09:00:00,2018-04-12 09:00:00
LG-000101,Katihar Metro Metro Line Extension,Metro,Bihar,Katihar,USR-00979,33,204.35,3280,4927,21888900117.94,2023-05-19,2027-05-18,Notification,On Hold,2023-05-19 09:00:00,2024-01-27 09:00:00
LG-000102,Khagaria Highway Greenfield Connector,Highway,Bihar,Khagaria,USR-00979,31,1352.25,2896,7041,96192807364.71,2021-05-04,2024-05-03,Objection/Hearing,Active,2021-05-04 09:00:00,2021-11-05 09:00:00
LG-000103,Kishanganj Industrial Corridor Bypass Construction,Industrial Corridor,Bihar,Kishanganj,USR-00978,2,3881.3,2059,4600,3328704286.04,2023-12-25,2028-12-23,Possession,Completed,2023-12-25 09:00:00,2024-01-11 09:00:00
LG-000104,Lakhisarai Highway Power Grid Link,Highway,Bihar,Lakhisarai,USR-01008,13,6850.42,1991,2348,21575356011.85,2019-05-09,2024-05-07,Possession,Active,2019-05-09 09:00:00,2019-05-30 09:00:00
LG-000105,Madhepura Water Supply Industrial Cluster Feeder,Water Supply,Bihar,Madhepura,USR-01005,14,8024.68,3644,4476,16495719439.76,2024-08-11,2029-08-10,Land Identification,Active,2024-08-11 09:00:00,2025-01-22 09:00:00
LG-000106,Madhubani Power Project Ring Road Phase II,Power Project,Bihar,Madhubani,USR-01008,10,1540.08,2460,5995,30561786772.68,2022-10-06,2026-10-05,Survey,Active,2022-10-06 09:00:00,2023-04-24 09:00:00
LG-000107,Munger Canal Bypass Construction,Canal,Bihar,Munger,USR-00978,25,1584.49,2769,3672,63187319645.79,2018-03-05,2021-03-04,Land Identification,Completed,2018-03-05 09:00:00,2018-04-03 09:00:00
LG-000108,Muzaffarpur Highway Bypass Construction,Highway,Bihar,Muzaffarpur,USR-00908,34,5917.6,4177,6079,46735035501.13,2019-07-26,2021-07-25,Final Handover,Active,2019-07-26 09:00:00,2019-08-17 09:00:00
LG-000109,Nalanda Urban Development Metro Line Extension,Urban Development,Bihar,Nalanda,USR-01002,6,8412.29,2609,5478,67484676263.68,2024-11-13,2027-11-13,Land Identification,Completed,2024-11-13 09:00:00,2025-07-27 09:00:00
LG-000110,Nawada Canal Ring Road Phase II,Canal,Bihar,Nawada,USR-00908,24,5970.65,1493,1763,56357452717.52,2020-08-16,2026-08-15,Legal Resolution,Active,2020-08-16 09:00:00,2020-10-10 09:00:00
LG-000111,Patna Highway Power Grid Link,Highway,Bihar,Patna,USR-00978,9,4891.82,1580,3056,6181025275.46,2024-07-02,2026-07-02,Final Handover,Active,2024-07-02 09:00:00,2025-04-04 09:00:00
LG-000112,Purnia Canal Freight Corridor Expansion,Canal,Bihar,Purnia,USR-00908,24,499.69,2860,5850,47360800194.63,2024-11-08,2030-11-07,Final Handover,Active,2024-11-08 09:00:00,2025-02-15 09:00:00
LG-000113,Rohtas Railway Bypass Construction,Railway,Bihar,Rohtas,USR-00994,18,3913.33,4972,9154,17568555775.66,2019-12-27,2025-12-25,R&R,Active,2019-12-27 09:00:00,2020-05-31 09:00:00
LG-000114,Saharsa Highway Irrigation Modernization,Highway,Bihar,Saharsa,USR-01005,6,3007.71,3075,5548,29592194587.32,2018-04-02,2021-04-01,Documentation,Active,2018-04-02 09:00:00,2018-12-10 09:00:00
LG-000115,Samastipur Railway Industrial Cluster Feeder,Railway,Bihar,Samastipur,USR-00908,17,4400.98,4260,6573,89859615977.84,2022-07-24,2027-07-23,Notification,Active,2022-07-24 09:00:00,2022-12-17 09:00:00
LG-000116,Saran Highway Irrigation Modernization,Highway,Bihar,Saran,USR-01002,11,4073.67,4693,11553,61454326986.64,2021-07-24,2023-07-24,Final Handover,Completed,2021-07-24 09:00:00,2021-10-17 09:00:00
LG-000117,Sheikhpura Power Project Bypass Construction,Power Project,Bihar,Sheikhpura,USR-00979,33,3753.83,4774,10791,96395559738.29,2024-02-22,2026-02-21,Objection/Hearing,Active,2024-02-22 09:00:00,2024-05-07 09:00:00
